id,fund_type,department_code,fund_code,organization_code,organization_description,division_code,division_description,section_code,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,total_budgeted_unit_people,total_budgeted_unit_time
4461,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3217,4155,Abandoned Tows,V 13,54,8105,Annual,1,87600,87600,1.0,
4462,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3217,4155,Abandoned Tows,V 13,54,8105,Annual,1,65664,65664,1.0,
4463,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3217,4155,Abandoned Tows,V 14,54,6287,Annual,1,100680,201360,2.0,
4464,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3217,4155,Abandoned Tows,V 10,54,0441,Annual,1,54504,54504,1.0,
4465,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3217,4155,Abandoned Tows,1 00,0,0015,Annual,0,2295,2295,,0.0
4466,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4151,Auto Pounds/Management,BX 16,10,6298,Annual,1,105420,105420,1.0,
4467,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4151,Auto Pounds/Management,P 14,8,6292,Annual,1,110460,220920,2.0,
4468,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4151,Auto Pounds/Management,P 14,8,6292,Annual,1,91788,183576,2.0,
4469,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4151,Auto Pounds/Management,1 00,0,0015,Annual,0,3026,3026,,0.0
4470,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,B 10,1,6333,Annual,1,76248,762480,10.0,
4471,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,B 10,1,6333,Annual,1,72828,145656,2.0,
4472,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,B 10,1,6333,Annual,1,69468,416808,6.0,
4473,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,B 10,1,6333,Annual,1,66336,66336,1.0,
4474,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,B 10,1,6333,Annual,1,49692,49692,1.0,
4475,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,B 10,1,6333,Annual,1,47472,189888,4.0,
4476,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,B 10,1,6333,Annual,1,45288,45288,1.0,
4477,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,B 10,1,6333,Annual,1,43932,307524,7.0,
4478,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,P 14,8,6292,Annual,1,110460,331380,3.0,
4479,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,P 14,8,6292,Annual,1,96060,96060,1.0,
4480,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,P 14,8,6292,Annual,1,75468,75468,1.0,
4481,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4152,Auto Pounds Operations,1 00,0,0015,Annual,0,7060,7060,,0.0
4482,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 08,1,0664,Annual,1,52548,52548,1.0,
4483,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 08,1,0430,Annual,1,63348,63348,1.0,
4484,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 08,1,0430,Annual,1,55068,55068,1.0,
4485,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 10,1,0419,Annual,1,43932,43932,1.0,
4486,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 09,1,0415,Annual,1,41316,41316,1.0,
4487,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 09,1,0415,Annual,1,40056,40056,1.0,
4488,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,3 00,9,0313,Annual,1,120576,120576,1.0,
4489,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 13,1,0308,Annual,1,100716,100716,1.0,
4490,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 12,1,0303,Annual,1,54528,54528,1.0,
4491,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,B 12,1,0303,Annual,1,52896,52896,1.0,
4492,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,4153,Vehicle Impoundment Program,1 00,0,0015,Annual,0,1352,1352,,0.0
4493,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3223,0,,2 0,8,7127,Hourly,1,40,251846,3.0,
4494,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3223,0,,2 0,8,7124,Hourly,1,39,1298586,16.0,
4495,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3223,0,,1 00,0,0015,Annual,0,1806,1806,,0.0
4496,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3223,0,,1 00,0,0012,Annual,0,21241,21241,,0.0
4497,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3224,0,,2 0,8,7185,Hourly,1,40,589098,7.0,
4498,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3224,0,,1 00,0,0012,Annual,0,8071,8071,,0.0
4499,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3225,0,,2 0,8,7184,Hourly,1,38,957216,12.0,
4500,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3225,0,,2 0,8,7184,Hourly,1,35,430810,6.0,
4501,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3225,0,,2 0,8,7183,Hourly,1,39,647795,8.0,
4502,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3225,0,,2 0,8,7183,Hourly,1,38,1435824,18.0,
4503,Local,81,0300,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3225,0,,1 00,0,0012,Annual,0,47562,47562,,0.0
4504,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3222,0,,B 14,1,6144,Annual,1,63720,63720,1.0,
4505,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3222,0,,G 08,4,5814,Annual,1,82476,82476,1.0,
4506,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3222,0,,G 07,4,5813,Annual,1,76248,76248,1.0,
4507,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3222,0,,3 00,0,5633,Annual,1,123996,123996,1.0,
4508,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3222,0,,2 0,29,5083,Hourly,1,60,249184,2.0,
4509,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3222,0,,2 0,29,5081,Hourly,1,55,1027728,9.0,
4510,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3222,0,,B 10,1,0302,Annual,1,69468,69468,1.0,
4511,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3222,0,,1 00,0,0012,Annual,0,18515,18515,,0.0
4512,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3223,0,,B 15,1,6145,Annual,1,121272,121272,1.0,
4513,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3223,0,,B 15,1,6145,Annual,1,110508,110508,1.0,
4514,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3223,0,,B 13,1,6143,Annual,1,58020,58020,1.0,
4515,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3223,0,,3 00,20,5632,Annual,1,120384,120384,1.0,
4516,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3223,0,,3 00,20,5630,Annual,1,108960,108960,1.0,
4517,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3223,0,,G 08,4,5614,Annual,1,119712,119712,1.0,
4518,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3224,4226,Highways Design,G 08,4,6254,Annual,1,91020,91020,1.0,
4519,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3224,4226,Highways Design,3 00,0,5907,Annual,1,126504,126504,1.0,
4520,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3224,4226,Highways Design,3 00,20,5630,Annual,1,103680,207360,2.0,
4521,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3224,4226,Highways Design,G 09,4,5615,Annual,1,130872,130872,1.0,
4522,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3224,4226,Highways Design,G 09,4,5615,Annual,1,99480,99480,1.0,
4523,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3224,4226,Highways Design,G 08,4,5614,Annual,1,119712,119712,1.0,
4524,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3224,4226,Highways Design,G 07,4,5613,Annual,1,76248,152496,2.0,
4525,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3225,0,,1 00,9,9679,Annual,1,131664,131664,1.0,
4526,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3225,0,,B 13,1,0308,Annual,1,100716,100716,1.0,
4527,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3225,0,,B 12,1,0303,Annual,1,83676,83676,1.0,
4528,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3228,0,,3 00,20,5632,Annual,1,123996,123996,1.0,
4529,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3228,0,,G 08,4,5614,Annual,1,119712,119712,1.0,
4530,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3228,0,,G 08,4,5614,Annual,1,84084,84084,1.0,
4531,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3229,4228,Contract Engineering,3 00,20,5632,Annual,1,123996,123996,1.0,
4532,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3229,4228,Contract Engineering,3 00,20,5630,Annual,1,108960,108960,1.0,
4533,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3229,4228,Contract Engineering,G 09,4,5615,Annual,1,92304,92304,1.0,
4534,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3229,4228,Contract Engineering,G 08,4,5614,Annual,1,119712,359136,3.0,
4535,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3229,4228,Contract Engineering,G 08,4,5614,Annual,1,84084,252252,3.0,
4536,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,B 13,1,6143,Annual,1,100716,100716,1.0,
4537,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,B 13,1,6143,Annual,1,72048,72048,1.0,
4538,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,3 00,10,5905,Annual,1,126504,126504,1.0,
4539,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,G 09,4,5615,Annual,1,130872,392616,3.0,
4540,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,G 08,4,5614,Annual,1,119712,478848,4.0,
4541,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,G 08,4,5614,Annual,1,84084,252252,3.0,
4542,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,G 07,4,5613,Annual,1,86688,86688,1.0,
4543,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,G 07,4,5613,Annual,1,76248,76248,1.0,
4544,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3230,0,,1 00,0,0015,Annual,0,2527,2527,,0.0
4545,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3231,0,,B 15,1,6145,Annual,1,115788,115788,1.0,
4546,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3231,0,,B 14,1,6144,Annual,1,63720,63720,1.0,
4547,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3231,0,,B 13,1,6143,Annual,1,58020,58020,1.0,
4548,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3231,0,,G 09,4,5615,Annual,1,130872,130872,1.0,
4549,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3231,0,,G 09,4,5615,Annual,1,108516,108516,1.0,
4550,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3231,0,,G 08,4,5614,Annual,1,119712,239424,2.0,
4551,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3231,0,,B 10,1,0431,Annual,1,69468,69468,1.0,
4552,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3232,0,,B 13,1,6143,Annual,1,87636,87636,1.0,
4553,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3232,0,,3 00,20,5636,Annual,1,82476,82476,1.0,
4554,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3232,0,,G 06,4,5431,Annual,1,100500,100500,1.0,
4555,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3232,0,,3 00,9,0311,Annual,1,104712,104712,1.0,
4556,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3233,0,,G 08,4,5614,Annual,1,86688,86688,1.0,
4557,Local,84,0300,1125,ENGINEERING,2125,Division of Engineering,3233,0,,G 08,4,5404,Annual,1,119712,239424,2.0,
4558,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,1 00,9,9679,Annual,1,132972,132972,1.0,
4559,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 16,54,6139,Annual,1,133020,133020,1.0,
4560,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 16,54,6139,Annual,1,126984,126984,1.0,
4561,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 16,54,6139,Annual,1,121236,121236,1.0,
4562,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 16,54,6139,Annual,1,105492,210984,2.0,
4563,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 14,54,6138,Annual,1,110460,110460,1.0,
4564,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 14,54,6138,Annual,1,105492,105492,1.0,
4565,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 14,54,6138,Annual,1,96060,192120,2.0,
4566,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 14,54,6138,Annual,1,75468,75468,1.0,
4567,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 13,54,6137,Annual,1,100680,100680,1.0,
4568,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 13,54,6137,Annual,1,91788,458940,5.0,
4569,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 13,54,6137,Annual,1,83640,83640,1.0,
4570,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 13,54,6137,Annual,1,72024,288096,4.0,
4571,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 13,54,6137,Annual,1,68724,274896,4.0,
4572,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,V 13,54,6137,Annual,1,59808,358848,6.0,
4573,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,B 09,1,0665,Annual,1,69468,69468,1.0,
4574,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,3 00,9,0313,Annual,1,99624,99624,1.0,
4575,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4234,Construction Compliance,1 00,0,0015,Annual,0,11958,11958,,0.0
4576,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4235,Quality Assurance Division,G 09,4,5615,Annual,1,92304,92304,1.0,
4577,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,BX 16,10,8232,Annual,1,91752,91752,1.0,
4578,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 13,1,6143,Annual,1,58020,58020,1.0,
4579,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 11,1,6142,Annual,1,48216,48216,1.0,
4580,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 09,1,0665,Annual,1,63348,63348,1.0,
4581,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 09,1,0665,Annual,1,40056,40056,1.0,
4582,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,3 00,9,0313,Annual,1,113376,113376,1.0,
4583,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 13,1,0308,Annual,1,87636,87636,1.0,
4584,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 12,1,0303,Annual,1,79872,79872,1.0,
4585,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 10,1,0302,Annual,1,72828,145656,2.0,
4586,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 10,1,0302,Annual,1,66336,66336,1.0,
4587,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 10,1,0302,Annual,1,63348,63348,1.0,
4588,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 10,1,0302,Annual,1,57720,57720,1.0,
4589,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 10,1,0302,Annual,1,43932,43932,1.0,
4590,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,B 13,4,0110,Annual,1,91824,91824,1.0,
4591,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4237,Permitting,1 00,0,0015,Annual,0,17637,17637,,0.0
4592,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,B 11,1,6142,Annual,1,48216,48216,1.0,
4593,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,3 00,20,5616,Annual,1,113376,113376,1.0,
4594,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,G 09,4,5615,Annual,1,92304,92304,1.0,
4595,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,G 06,4,5612,Annual,1,69048,69048,1.0,
4596,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,GY 08,20,1141,Annual,1,89928,89928,1.0,
4597,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,B 11,1,0839,Annual,1,83676,83676,1.0,
4598,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,B 09,1,0665,Annual,1,63348,126696,2.0,
4599,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,B 09,1,0665,Annual,1,60420,60420,1.0,
4600,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,B 09,1,0665,Annual,1,40056,80112,2.0,
4601,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,B 10,1,0431,Annual,1,60420,60420,1.0,
4602,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,B 10,1,0431,Annual,1,43932,43932,1.0,
4603,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,B 10,1,0302,Annual,1,76248,76248,1.0,
4604,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,4238,Underground Construction,1 00,0,0015,Annual,0,1845,1845,,0.0
4605,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3264,0,,BX 16,10,8232,Annual,1,75408,75408,1.0,
4606,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3264,0,,B 14,1,6144,Annual,1,65676,65676,1.0,
4607,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3264,0,,B 14,1,6144,Annual,1,63720,63720,1.0,
4608,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3264,0,,V 13,54,6137,Annual,1,91788,91788,1.0,
4609,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3264,0,,V 13,54,6137,Annual,1,87600,87600,1.0,
4610,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3264,0,,V 13,54,6137,Annual,1,59808,119616,2.0,
4611,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3264,0,,1 00,0,0015,Annual,0,6021,6021,,0.0
4612,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3265,0,,G 06,4,1142,Annual,1,100500,100500,1.0,
4613,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3265,0,,B 09,1,0665,Annual,1,40056,40056,1.0,
4614,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3265,0,,BX 15,20,0380,Annual,1,87564,87564,1.0,
4615,Local,84,0300,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3265,0,,1 00,0,0015,Annual,0,1222,1222,,0.0
4616,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,54,953I,Hourly,0,44,3972335,,89467.0
4617,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,54,9539,Hourly,1,44,6279936,68.0,
4618,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,54,946D,Hourly,0,44,61583,,1387.0
4619,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,54,9464,Hourly,1,45,92914,1.0,
4620,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,54,9464,Hourly,1,44,1754688,19.0,
4621,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,54,8249,Hourly,1,45,1130688,12.0,
4622,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,42,763C,Hourly,0,52,1589779,,30514.0
4623,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,42,7633,Hourly,1,55,114088,1.0,
4624,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,42,7633,Hourly,1,54,225056,2.0,
4625,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,42,7633,Hourly,1,52,1192048,11.0,
4626,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,8,718D,Hourly,0,38,1196520,,31200.0
4627,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,8,7184,Hourly,1,38,398840,5.0,
4628,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,8,7183,Hourly,1,38,2393040,30.0,
4629,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,32,503E,Hourly,0,50,693350,,13867.0
4630,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,46,4834,Hourly,1,53,436883,4.0,
4631,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,33,443E,Hourly,0,47,977835,,20805.0
4632,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,33,4437,Hourly,1,49,1732640,17.0,
4633,Local,84,0300,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,0,,2 0,33,4435,Hourly,1,49,917280,9.0,
