FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 07,4,5643,Sanitary Engineer III,Annual,3,1,76248,228744
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 06,4,5642,Sanitary Engineer II,Annual,2,1,71196,142392
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 06,4,5642,Sanitary Engineer II,Annual,12,1,69048,828576
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 06,4,5533,Water Chemist III,Annual,2,1,100500,201000
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 06,4,5533,Water Chemist III,Annual,1,1,78600,78600
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 05,4,5532,Water Chemist II,Annual,3,1,91944,275832
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 05,4,5532,Water Chemist II,Annual,2,1,64656,129312
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 05,4,5532,Water Chemist II,Annual,3,1,62700,188100
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 09,3,5529,Chief Water Chemist,Annual,1,1,130872,130872
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,2 0,16,4754,Plumber,Hourly,1,1,52,108160
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 07,3,3179,Microbiologist IV,Annual,1,1,109620,109620
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 06,3,3178,Microbiologist III,Annual,3,1,100500,301500
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 05,3,3177,Microbiologist II,Annual,1,1,91944,91944
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 05,3,3177,Microbiologist II,Annual,2,1,62700,125400
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,3 00,0,3154,Director of Water Purification Laboratories,Annual,1,1,119148,119148
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,B 11,1,3130,Laboratory Technician,Annual,1,1,83676,83676
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,B 11,1,3130,Laboratory Technician,Annual,1,1,48216,48216
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,G 09,4,3108,Chief Microbiologist,Annual,1,1,123864,123864
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,B 09,1,2317,Water Quality Inspector,Annual,1,1,66336,66336
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,B 09,1,2317,Water Quality Inspector,Annual,1,1,40056,40056
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,4664,4664
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3205,Water Quality,0,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,811,811
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,BX 18,20,8305,Coordinator of Tugboat Operations,Annual,1,1,115656,115656
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,23,7775,Stationary Fireman,Hourly,15,1,36,1113840
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,12,7747,Chief Operating Engineer,Monthly,7,1,10910,916406
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,12,7745,Assistant Chief Operating Engineer,Hourly,32,1,58,3840512
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,12,7743,Operating Engineer - Group A,Hourly,32,1,52,3491072
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,12,7741,Operating Engineer - Group C,Hourly,47,1,50,4871381
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,19,7398,Deck Hand,Hourly,2,1,39,160326
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,21,7357,Marine Pilot,Hourly,1,1,55,114962
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,21,7353,Marine Engineer,Hourly,1,1,55,114962
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,36,6676,Foreman of Machinists,Hourly,1,1,52,108534
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,36,6674,Machinist,Hourly,10,1,50,1033344
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,3 00,10,6088,Engineer of Electric Pumping Stations,Annual,1,1,119412,119412
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,3 00,9,6087,Engineer of Water Pumping,Annual,1,1,129072,129072
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,3 00,10,6086,Assistant Engineer of Water Pumping,Annual,1,1,120348,120348
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,3 00,10,6055,Mechanical Engineer V,Annual,1,1,108960,108960
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,G 07,4,6053,Mechanical Engineer III,Annual,1,1,109620,109620
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,G 06,4,6052,Mechanical Engineer II,Annual,2,1,69048,138096
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,G 08,4,5814,Electrical Engineer IV,Annual,1,1,91020,91020
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,32,5040,Foreman of Electrical Mechanics,Hourly,2,1,54,222643
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,32,5035,Electrical Mechanic,Hourly,21,1,50,2184000
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,14,4776,Foreman of Steamfitters,Hourly,1,1,54,111800
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,14,4774,Steamfitter,Hourly,13,1,51,1372280
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,39,463D,Painter,Hourly,10400,0,48,502320
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,39,4634,Painter,Hourly,2,1,48,200928
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,45,4223,Custodial Worker,Hourly,2,1,23,94016
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,2 0,45,4223,Custodial Worker,Hourly,1,1,19,39416
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,B 11,1,1588,Procurement Control Officer,Annual,1,1,83676,83676
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,3114,3114
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,221467,221467
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,9593,Station Laborer,Monthly,1,1,4092,49100
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,9593,Station Laborer,Monthly,9,1,4051,437491
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,9593,Station Laborer,Hourly,3,1,25,153379
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,9592,Foreman of Station Laborers,Monthly,2,1,4816,115580
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,23,777E,Stationary Fireman,Hourly,2080,0,36,74256
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,23,7775,Stationary Fireman,Hourly,8,1,36,594048
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,12,7747,Chief Operating Engineer,Monthly,2,1,10910,261830
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,12,7745,Assistant Chief Operating Engineer,Hourly,14,1,58,1680224
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,12,7743,Operating Engineer - Group A,Hourly,59,1,52,6436664
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,12,7741,Operating Engineer - Group C,Hourly,75,1,50,7773480
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,36,6676,Foreman of Machinists,Hourly,2,1,52,217069
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,36,6674,Machinist,Hourly,9,1,50,930010
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 06,4,5642,Sanitary Engineer II,Annual,1,1,74844,74844
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,3 00,9,5566,Engineer of Water Purification,Annual,1,1,124668,124668
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 07,4,5534,Water Chemist IV,Annual,3,1,109620,328860
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 06,4,5533,Water Chemist III,Annual,1,1,100500,100500
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 06,4,5533,Water Chemist III,Annual,1,1,78600,78600
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 05,4,5532,Water Chemist II,Annual,6,1,91944,551664
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 05,4,5532,Water Chemist II,Annual,3,1,74844,224532
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 05,4,5532,Water Chemist II,Annual,1,1,64656,64656
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 05,4,5532,Water Chemist II,Annual,5,1,62700,313500
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 06,4,5528,Filtration Engineer II,Annual,1,1,100500,100500
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 06,4,5528,Filtration Engineer II,Annual,2,1,74844,149688
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 06,4,5528,Filtration Engineer II,Annual,12,1,69048,828576
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 09,4,5520,Filtration Engineer V,Annual,7,1,130872,916104
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 09,4,5520,Filtration Engineer V,Annual,1,1,92304,92304
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 08,4,5519,Filtration Engineer IV,Annual,2,1,119712,239424
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 08,4,5519,Filtration Engineer IV,Annual,1,1,113484,113484
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 08,4,5519,Filtration Engineer IV,Annual,1,1,103968,103968
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 08,4,5519,Filtration Engineer IV,Annual,1,1,99480,99480
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 08,4,5519,Filtration Engineer IV,Annual,2,1,95172,190344
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 08,4,5519,Filtration Engineer IV,Annual,2,1,82476,164952
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 07,4,5518,Filtration Engineer III,Annual,2,1,109620,219240
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 07,4,5518,Filtration Engineer III,Annual,5,1,76248,381240
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,32,5042,General Foreman of Electrical Mechanics,Monthly,3,1,9707,349440
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,32,5040,Foreman of Electrical Mechanics,Hourly,2,1,54,222643
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,32,5035,Electrical Mechanic,Hourly,37,1,50,3848000
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,14,4776,Foreman of Steamfitters,Hourly,1,1,54,111800
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,14,4774,Steamfitter,Hourly,14,1,51,1477840
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,39,4636,Foreman of Painters,Hourly,1,1,54,113027
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,39,4634,Painter,Hourly,4,1,48,401856
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,50,4304,General Foreman of Carpenters,Monthly,1,1,9492,113901
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,50,4303,Foreman of Carpenters,Hourly,1,1,52,108701
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,50,4301,Carpenter,Hourly,4,1,50,414003
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,4225,Foreman of Custodial Workers,Hourly,1,1,28,57262
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,4225,Foreman of Custodial Workers,Hourly,1,1,19,40248
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,4223,Custodial Worker,Hourly,5,1,23,235040
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,4223,Custodial Worker,Hourly,1,1,21,42744
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,4223,Custodial Worker,Hourly,2,1,19,78832
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,B 10,1,1817,Head Storekeeper,Annual,1,1,72828,72828
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,10376,10376
Local,88,DWM,0200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,280286,280286
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,1 00,9,9679,Deputy Commissioner,Annual,1,1,132972,132972
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,3 00,0,5985,General Superintendent of Water Management,Annual,1,1,120348,120348
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,BX 13,10,0801,Executive Administrative Assistant I,Annual,1,1,56280,56280
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,B 08,1,0664,Data Entry Operator,Annual,1,1,57720,57720
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,U 10,53,0417,District Clerk,Annual,1,1,69432,69432
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,3 00,0,0321,Assistant to the Commissioner,Annual,1,1,76932,76932
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,3 00,9,0313,Assistant Commissioner,Annual,1,1,111144,111144
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,3 00,9,0311,Projects Administrator,Annual,1,1,99624,99624
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,B 10,1,0302,Administrative Assistant II,Annual,1,1,76248,76248
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,B 10,1,0302,Administrative Assistant II,Annual,1,1,52044,52044
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,B 13,1,0159,Supervisor of Cost Control,Annual,1,1,100716,100716
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,B 11,1,0109,Accounting Technician,Annual,1,1,79872,79872
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3256,Equipment Coordination/Warehouse and Stores,4007,Water Equipment Coordination,2 0,36,6674,Machinist,Hourly,2,1,50,206669
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3256,Equipment Coordination/Warehouse and Stores,4007,Water Equipment Coordination,2 0,53,1860,Foreman of Pipe Yards,Hourly,3,1,46,283920
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3256,Equipment Coordination/Warehouse and Stores,4007,Water Equipment Coordination,B 08,1,0664,Data Entry Operator,Annual,1,1,63348,63348
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3256,Equipment Coordination/Warehouse and Stores,4007,Water Equipment Coordination,3 00,9,0313,Assistant Commissioner,Annual,2,1,96696,193392
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3256,Equipment Coordination/Warehouse and Stores,4007,Water Equipment Coordination,3 00,9,0311,Projects Administrator,Annual,1,1,87540,87540
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3256,Equipment Coordination/Warehouse and Stores,4007,Water Equipment Coordination,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,3806,3806
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,2 0,53,9408,Laborer as Estimator,Hourly,2,1,44,184704
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,2 0,53,8246,Foreman of Construction Laborers,Hourly,1,1,46,94640
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,V 15,53,7125,Assistant Chief Dispatcher,Annual,1,1,91788,91788
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,2 0,53,7101,Emergency Crew Dispatcher,Hourly,9,1,44,831168
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,3 00,0,5985,General Superintendent of Water Management,Annual,1,1,120348,120348
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,BX 15,10,1912,Project Coordinator,Annual,1,1,67800,67800
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1978,1978
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,8662,8662
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3259,Evaluations,0,,B 15,1,6145,Engineering Technician VI,Annual,1,1,110508,110508
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3259,Evaluations,0,,B 14,1,6144,Engineering Technician V,Annual,1,1,110508,110508
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3259,Evaluations,0,,B 14,1,6144,Engineering Technician V,Annual,1,1,105588,105588
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,941A,Construction Laborer,Hourly,72800,0,44,3232320
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,9411,Construction Laborer,Hourly,174,1,44,16069248
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,9410,Laborer - Apprentice,Hourly,120600,0,27,3212784
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8394,Foreman of Water Pipe Construction,Hourly,18,1,55,2062944
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,J 17,16,8373,District Superintendent of Water Distribution,Annual,2,1,86700,173400
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8352,Assistant District Superintendent,Monthly,11,1,9897,1306448
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8301,Caulker,Hourly,4,1,52,432640
Local,88,DWM,0200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8301,Caulker,Hourly,4,1,47,389376
